Year	Player
2014	Xavier Munford
2014	JaKarr Sampson
2014	David Stockton
2014	Axel Toupane
2014	David Wear
2014	Travis Wear
2014	Okaro White
2014	Shayne Whittington
2014	Jamil Wilson
2015	Cliff Alexander
2015	Nicolas Brussino
2015	Quinn Cook
2015	Bryce Dejean-Jones
2015	Duje Dukan
2015	Treveon Graham
2015	Aaron Harrison
2015	Vince Hunter
2015	T.J. McConnell
2015	Alfonzo McKinnie
2015	Malcolm Miller
2015	Luis Montero
2015	Maurice Ndour
2015	J.J. OBrien
2015	Royce ONeale
2015	Chasson Randle
2015	Jordan Sibert
2015	Julian Washburn
2015	Briante Weber
2015	Alan Williams
2015	Christian Wood
