Player,"Tm","Year","WS","VORP"
John Lambert,"CLE",1977,1.5,0
Mark Landsberger,"CHI",1977,1.9,-0.1
Bob Lanier,"DET",1977,10.1,4.2
Rich Laurel,"MIL",1977,0,-0.1
Mo Layton,"SAS",1977,0.3,-0.5
Ron Lee,"PHO",1977,3.8,2
Scott Lloyd,"TOT",1977,0.6,-0.3
John Lucas,"HOU",1977,5.2,1.6
Maurice Lucas,"POR",1977,5.8,1.7
Moses Malone,"HOU",1977,6.1,0.5
Pete Maravich,"NOJ",1977,2.9,1
Ricky Marsh,"GSW",1977,0.5,-0.5
Cedric Maxwell,"BOS",1977,4.2,1.1
Scott May,"CHI",1977,3.1,0.5
Bob McAdoo,"NYK",1977,10.9,4.3
Andre McCarter,"KCK",1977,0,0
Ted McClain,"TOT",1977,0.8,-0.3
Jim McDaniels,"BUF",1977,0.5,-0.3
Jim McElroy,"NOJ",1977,2.9,0
George McGinnis,"PHI",1977,7.9,3.4
Tom McMillen,"ATL",1977,3.9,0.5
Jim McMillian,"NYK",1977,3.4,0.6
Larry McNeill,"TOT",1977,2.3,0
John Mengelt,"CHI",1977,3.9,-0.2
Joe Meriweather,"NOJ",1977,2.6,0.6
Dave Meyers,"MIL",1977,5,1.2
Steve Mix,"PHI",1977,5.1,1.4
Larry Moffett,"HOU",1977,-0.1,-0.1
Eric Money,"DET",1977,3.6,0.6
Earl Monroe,"NYK",1977,5.8,0.4
Glenn Mosley,"PHI",1977,-0.1,-0.1
Calvin Murphy,"HOU",1977,7.4,1.9
Bob Nash,"KCK",1977,2.1,0.3
Swen Nater,"BUF",1977,6.8,2.3
Lloyd Neal,"POR",1977,4.3,0.8
Louie Nelson,"TOT",1977,0,-0.3
Johnny Neumann,"IND",1977,-0.1,-0.3
Mike Newlin,"HOU",1977,1.8,0.4
Norm Nixon,"LAL",1977,4.5,1
Willie Norwood,"TOT",1977,0.5,-0.1
Mark Olberding,"SAS",1977,3.9,0.6
Eddie Owens,"BUF",1977,0,0
Tom Owens,"POR",1977,6,1.7
Joe Pace,"WSB",1977,0.9,0
Robert Parish,"GSW",1977,4,0.5
Sonny Parker,"GSW",1977,6.2,2.6
Billy Paultz,"SAS",1977,8.6,3.1
Curtis Perry,"PHO",1977,1.7,0.2
Cliff Pondexter,"CHI",1977,1,0.3
Ben Poquette,"DET",1977,0.6,-0.5
Howard Porter,"TOT",1977,3.9,0.1
Kevin Porter,"TOT",1977,4.2,-0.1
Jim Price,"TOT",1977,2.4,0.2
Ed Ratleff,"HOU",1977,1,0.4
Clifford Ray,"GSW",1977,6.9,2.6
Robert Reid,"HOU",1977,2.3,0.9
Kevin Restani,"TOT",1977,0.5,-0.3
Anthony Roberts,"DEN",1977,1.9,-0.9
Tony Robertson,"ATL",1977,0.5,-0.3
Truck Robinson,"NOJ",1977,6.5,0.6
Bill Robinzine,"KCK",1977,3,-0.3
Dave Robisch,"TOT",1977,2.3,0
Tree Rollins,"ATL",1977,5,2.1
Dan Roundfield,"IND",1977,6.9,3
Curtis Rowe,"BOS",1977,0.9,-0.4
Campy Russell,"CLE",1977,6.6,2.8
Cazzie Russell,"CHI",1977,1.1,-0.2
Fred Saunders,"TOT",1977,0.5,-0.3
Dale Schlueter,"POR",1977,0,-0.1
Alvin Scott,"PHO",1977,4,0.8
Charlie Scott,"TOT",1977,2.4,0.1
Bruce Seals,"SEA",1977,1.6,-0.5
Lonnie Shelton,"NYK",1977,5.9,2.4
Steve Sheppard,"CHI",1977,0.8,-0.3
John Shumate,"TOT",1977,7.7,2.1
Jack Sikma,"SEA",1977,5.4,1
James Silas,"SAS",1977,0.6,-0.2
Paul Silas,"SEA",1977,3.1,1.2
Ralph Simpson,"TOT",1977,-0.2,-0.8
Scott Sims,"SAS",1977,-0.2,-0.1
Al Skinner,"TOT",1977,1.8,-0.1
Bingo Smith,"CLE",1977,2.5,-0.4
Elmore Smith,"CLE",1977,6.8,1.2
Phil Smith,"GSW",1977,6.3,1.8
Randy Smith,"BUF",1977,7.9,3.1
Robert Smith,"DEN",1977,0.8,-0.1
Willie Smith,"IND",1977,0,0
Dick Snyder,"CLE",1977,0.9,-0.2
Ricky Sobers,"IND",1977,4.8,1.8
Kevin Stacom,"BOS",1977,0.8,-0.6
Larry Steele,"POR",1977,3,0.3
Earl Tatum,"TOT",1977,4.4,1.3
Brian Taylor,"DEN",1977,1.8,0.2
Claude Terry,"ATL",1977,0,-0.2
David Thompson,"DEN",1977,12.7,4.3
Dean Tolson,"SEA",1977,0,0
Rudy Tomjanovich,"HOU",1977,1.7,0.1
Dave Twardzik,"POR",1977,5.5,1.5
Wes Unseld,"WSB",1977,6.8,4.2
Jan van Breda Kolff,"NJN",1977,1.2,0.1
Norm Van Lier,"CHI",1977,3.8,1.1
Foots Walker,"CLE",1977,5.2,2.7
Phil Walker,"WSB",1977,-0.4,-0.4
Wally Walker,"TOT",1977,1.9,-0.2
Bill Walton,"POR",1977,8.4,4.4
Lloyd Walton,"MIL",1977,1.1,-0.7
Kermit Washington,"TOT",1977,5.3,1.2
Richard Washington,"KCK",1977,3.9,0.8
Wilson Washington,"TOT",1977,0.3,-0.3
Slick Watts,"TOT",1977,0.8,0.1
Nick Weatherspoon,"CHI",1977,0.6,-0.1
Marvin Webster,"SEA",1977,8.7,3.7
Scott Wedman,"KCK",1977,7.8,2.7
Paul Westphal,"PHO",1977,9.8,2.8
Jo Jo White,"BOS",1977,1.7,0.1
Rudy White,"HOU",1977,-0.3,-0.3
Sidney Wicks,"BOS",1977,4.2,1.1
Bob Wilkerson,"DEN",1977,0.7,0.1
Jamaal Wilkes,"LAL",1977,3.3,1.4
Chuck Williams,"BUF",1977,1.3,-0.9
Gus Williams,"SEA",1977,7.7,2.8
Nate Williams,"TOT",1977,1.9,-0.4
Ray Williams,"NYK",1977,1,0.2
John Williamson,"TOT",1977,3.4,-0.6
Bill Willoughby,"BUF",1977,1.2,-0.3
Bobby Wilson,"IND",1977,0,-0.1
Brian Winters,"MIL",1977,5.1,1
Willie Wise,"SEA",1977,0,0
Dave Wohl,"NJN",1977,-0.2,-0.2
Larry Wright,"WSB",1977,2.7,0.1
Kareem Abdul-Jabbar,"LAL",1978,14.4,7.8
Tom Abernethy,"GSW",1978,3.7,0.8
Alvan Adams,"PHO",1978,7.6,4.1
Lucius Allen,"KCK",1978,0.1,-0.2
Kim Anderson,"POR",1978,-0.4,-0.4
