Year	Rd	Pk	Tm	Player
1984	1	18	IND	Vern Fleming
1984	1	19	POR	Bernard Thompson
1984	1	20	DET	Tony Campbell
1984	1	21	MIL	Kenny Fields
1984	1	22	PHI	Tom Sewell
1984	1	23	LAL	Earl Jones
1984	1	24	BOS	Michael Young
1984	2	25	IND	Devin Durrant
1984	2	26	POR	Victor Fleming
1984	2	27	CLE	Ron Anderson
1984	2	28	SEA	Cory Blackwell
1984	2	29	IND	Stuart Gray
1984	2	30	GSW	Steve Burtt
1984	2	31	GSW	Jay Murphy
1984	2	32	DET	Eric Turner
1984	2	33	POR	Steve Colter
1984	2	34	WSB	Tony Costner
1984	2	35	GSW	Othell Wilson
1984	2	36	PHO	Charles Jones2
1984	2	37	CHI	Ben Coleman
1984	2	38	DAL	Charlie Sitton
1984	2	39	SEA	Danny Young
1984	2	40	DAL	Anthony Teachey
1984	2	41	DAL	Tom Sluby
1984	2	42	DEN	Willie White
1984	2	43	CHI	Greg Wiltjer
1984	2	44	WSB	Fred Reynolds
1984	2	45	GSW	Gary Plummer
1984	2	46	POR	Jerome Kersey
1984	2	47	BOS	Ronnie Williams
1984	3	48	PHI	James Banks
1984	3	49	CHI	Tim Dillon
1984	3	50	CLE	Ben McDonald
1985	1	1	NYK	Patrick Ewing
1985	1	2	IND	Wayman Tisdale
1985	1	3	LAC	Benoit Benjamin
1985	1	4	SEA	Xavier McDaniel
1985	1	5	ATL	Jon Koncak
1985	1	6	SAC	Joe Kleine
1985	1	7	GSW	Chris Mullin
1985	1	8	DAL	Detlef Schrempf
1985	1	9	CLE	Charles Oakley
1985	1	10	PHO	Ed Pinckney
1985	1	11	CHI	Keith Lee
1985	1	12	WSB	Kenny Green
1985	1	13	UTA	Karl Malone
1985	1	14	SAS	Alfredrick Hughes
1985	1	15	DEN	Blair Rasmussen
1985	1	16	DAL	Bill Wennington
1985	1	17	DAL	Uwe Blab
1985	1	18	DET	Joe Dumars
1985	1	19	HOU	Steve Harris
1985	1	20	BOS	Sam Vincent
1985	1	21	PHI	Terry Catledge
1985	1	22	MIL	Jerry Reynolds
1985	1	23	LAL	A.C. Green
1985	1	24	POR	Terry Porter
1985	2	25	POR	Mike Smrek
1985	2	26	IND	Bill Martin
1985	2	27	IND	Dwayne McClain
1985	2	28	CHI	Ken Johnson
1985	2	29	SAS	Mike Brittain
1985	2	30	CLE	Calvin Duncan
1985	2	31	WSB	Manute Bol
1985	2	32	PHO	Nick Vanos
1985	2	33	PHI	Greg Stokes
1985	2	34	CHI	Aubrey Sherrod
1985	2	35	SAS	Tyrone Corbin
1985	2	36	NJN	Yvon Joseph
1985	2	37	UTA	Carey Scurry
1985	2	38	NJN	Fernando Martin
1985	2	39	POR	George Montgomery
1985	2	40	DAL	Mark Acres
1985	2	41	ATL	Lorenzo Charles
1985	2	42	GSW	Bobby Lee Hurt
1985	2	43	DEN	Barry Stevens
1985	2	44	PHI	Voise Winters
1985	2	45	CLE	Hot Rod Williams
1985	2	46	CHI	Adrian Branch
1985	2	47	NYK	Gerald Wilkins
1985	3	48	IND	Kenny Patterson
1985	3	49	GSW	Brad Wright
1985	3	50	DAL	Leonard Allen
1986	1	1	CLE	Brad Daugherty
1986	1	2	BOS	Len Bias
1986	1	3	GSW	Chris Washburn
1986	1	4	IND	Chuck Person
1986	1	5	NYK	Kenny Walker
1986	1	6	PHO	William Bedford
1986	1	7	DAL	Roy Tarpley
1986	1	8	CLE	Ron Harper
1986	1	9	CHI	Brad Sellers
1986	1	10	SAS	Johnny Dawkins
1986	1	11	DET	John Salley
1986	1	12	WSB	John Williams
1986	1	13	NJN	Pearl Washington
1986	1	14	POR	Walter Berry
1986	1	15	UTA	Dell Curry
1986	1	16	DEN	Maurice Martin
1986	1	17	SAC	Harold Pressley
1986	1	18	DEN	Mark Alarie
1986	1	19	ATL	Billy Thompson
1986	1	20	HOU	Buck Johnson
1986	1	21	WSB	Anthony Jones
1986	1	22	MIL	Scott Skiles
1986	1	23	LAL	Ken Barlow
1986	1	24	POR	Arvydas Sabonis
1986	2	25	DAL	Mark Price
1986	2	26	IND	Greg Dreiling
1986	2	27	DET	Dennis Rodman
1986	2	28	CHI	Larry Krystkowiak
1986	2	29	CLE	Johnny Newman
1986	2	30	SEA	Nate McMillan
1986	2	31	PHO	Joe Ward
1986	2	32	ATL	Cedric Henderson
1986	2	33	SAS	Kevin Duckworth
1986	2	34	SAC	Johnny Rogers
1986	2	35	DAL	Milt Wagner
1986	2	36	WSB	Steve Mitchell
1986	2	37	POR	Parragiotis Fasoulas
1986	2	38	SEA	Lemone Lampley
1986	2	39	PHO	Rafael Addison
1986	2	40	ATL	Augusto Binelli
1986	2	41	DEN	Otis Smith
1986	2	42	ATL	Ron Kellogg
1986	2	43	HOU	Dave Feitl
1986	2	44	PHI	David Wingate
1986	2	45	MIL	Keith Smith
1986	2	46	PHO	Jeff Hornacek
1986	2	47	NYK	Michael Jackson
1986	3	48	SAS	Forrest McKenzie
1986	3	49	POR	Juden Smith
1986	3	50	CLE	Kevin Henderson
1987	1	1	SAS	David Robinson
1987	1	2	PHO	Armen Gilliam
1987	1	3	NJN	Dennis Hopson
1987	1	4	LAC	Reggie Williams
1987	1	5	SEA	Scottie Pippen
1987	1	6	SAC	Kenny Smith
1987	1	7	CLE	Kevin Johnson
1987	1	8	CHI	Olden Polynice
1987	1	9	SEA	Derrick McKey
